year	year_id	team_id	team_name	jersey_number	summary_type	class_year	position	height	games_played	games_started	minutes_played	field_goals_made	field_goals_attempted	field_goal_percentage	three_point_field_goals	three_point_field_goals_attempted	three_point_field_goal_percentage	free_throws	free_throws_attempted	free_throw_percentage	points	point_per_game	offensive_rebounds	defensive_rebounds	total_rebounds	rebounds_per_game	assists	turnovers	steals	blocks	fouls	double_doubles	triple_doubles	dq
2016	12280	2685	BYU-Hawaii	-	Totals	-	-	-	-	-	402:00	51	122	41.80	17	39	43.59	36	48	75.00	155	77.50	23	71	94	47.00	36	40	20	6	43	2	3	 	 
2016	12280	2685	BYU-Hawaii	-	Opponent Totals	-	-	-	-	-	399:00	45	145	31.03	6	38	15.79	38	53	71.70	134	67.00	37	52	89	44.50	28	35	22	5	42	2	1	 	 
2016	12280	49	Barry	-	Totals	-	-	-	-	-	600:00	66	176	37.50	20	64	31.25	28	39	71.79	180	60.00	37	60	97	32.33	34	37	22	4	47	3	 	 	 
2016	12280	49	Barry	-	Opponent Totals	-	-	-	-	-	600:00	76	151	50.33	24	55	43.64	37	55	67.27	213	71.00	25	77	102	34.00	47	49	27	6	49	3	2	 	 
2016	12280	15646	Barton	-	Totals	-	-	-	-	-	827:00	118	282	41.84	18	73	24.66	47	83	56.63	301	75.25	57	101	158	39.50	58	64	56	11	89	4	1	 	 
2016	12280	15646	Barton	-	Opponent Totals	-	-	-	-	-	825:00	110	248	44.35	12	47	25.53	61	92	66.30	293	73.25	53	124	177	44.25	60	92	28	6	76	4	3	 	 
2016	12280	52	Bellarmine	-	Totals	-	-	-	-	-	400:00	58	121	47.93	17	52	32.69	47	65	72.31	180	90.00	21	51	72	36.00	45	39	35	6	37	2	 	 	 
2016	12280	52	Bellarmine	-	Opponent Totals	-	-	-	-	-	400:00	48	118	40.68	7	23	30.43	23	33	69.70	126	63.00	23	45	68	34.00	21	61	23	8	49	2	3	 	 
2016	12280	2683	Belmont Abbey	-	Totals	-	-	-	-	-	601:00	78	187	41.71	6	30	20.00	46	62	74.19	208	69.33	45	77	122	40.67	34	50	18	 	56	3	1	 	 
2016	12280	2683	Belmont Abbey	-	Opponent Totals	-	-	-	-	-	601:00	94	212	44.34	18	55	32.73	32	45	71.11	238	79.33	45	71	116	38.67	57	39	24	6	54	3	1	 	 
2016	12280	54	Bemidji St.	-	Totals	-	-	-	-	-	600:00	98	195	50.26	18	43	41.86	55	69	79.71	269	89.67	42	85	127	42.33	56	37	41	12	45	3	 	 	 
2016	12280	54	Bemidji St.	-	Opponent Totals	-	-	-	-	-	600:00	55	161	34.16	16	53	30.19	25	37	67.57	151	50.33	28	63	91	30.33	33	71	20	2	52	3	1	 	 
2016	12280	55	Benedict	-	Totals	-	-	-	-	-	200:00	28	75	37.33	8	33	24.24	18	23	78.26	82	82.00	31	34	65	65.00	14	21	11	5	24	1	 	 	 
2016	12280	55	Benedict	-	Opponent Totals	-	-	-	-	-	200:00	15	53	28.30	3	19	15.79	11	18	61.11	44	44.00	6	15	21	21.00	10	19	8	1	18	1	2	 	 
2016	12280	56	Bentley	-	Totals	-	-	-	-	-	800:00	98	210	46.67	31	71	43.66	49	72	68.06	276	69.00	39	136	175	43.75	68	89	25	12	72	4	1	 	 
2016	12280	56	Bentley	-	Opponent Totals	-	-	-	-	-	800:00	82	248	33.06	16	68	23.53	33	50	66.00	213	53.25	39	79	118	29.50	47	64	35	7	83	4	3	 	 
2016	12280	30134	Black Hills St.	-	Totals	-	-	-	-	-	600:00	72	192	37.50	18	61	29.51	40	63	63.49	202	67.33	39	80	119	39.67	38	39	31	11	63	3	1	 	 
2016	12280	30134	Black Hills St.	-	Opponent Totals	-	-	-	-	-	600:00	46	153	30.07	20	61	32.79	63	78	80.77	175	58.33	35	87	122	40.67	21	65	9	6	53	3	4	 	 
2016	12280	984	Bloomfield	-	Totals	-	-	-	-	-	800:00	107	258	41.47	19	72	26.39	39	63	61.90	272	68.00	64	96	160	40.00	62	67	44	6	87	4	2	 	 
2016	12280	984	Bloomfield	-	Opponent Totals	-	-	-	-	-	799:00	66	173	38.15	22	53	41.51	55	81	67.90	209	52.25	24	100	124	31.00	34	101	24	14	69	4	2	 	 
2016	12280	65	Bloomsburg	-	Totals	-	-	-	-	-	600:00	85	185	45.95	13	60	21.67	46	61	75.41	229	76.33	31	92	123	41.00	45	59	27	8	52	3	 	 	 
2016	12280	65	Bloomsburg	-	Opponent Totals	-	-	-	-	-	600:00	76	201	37.81	19	64	29.69	34	49	69.39	205	68.33	38	79	117	39.00	35	56	24	2	65	3	3	 	 
2016	12280	985	Bluefield St.	-	Totals	-	-	-	-	-	600:00	62	165	37.58	14	50	28.00	24	47	51.06	162	54.00	35	90	125	41.67	32	97	28	5	53	3	1	 	 
2016	12280	985	Bluefield St.	-	Opponent Totals	-	-	-	-	-	600:00	97	227	42.73	26	79	32.91	34	46	73.91	254	84.67	46	80	126	42.00	72	44	53	4	61	3	1	 	 
2016	12280	70	Bowie St.	-	Totals	-	-	-	-	-	600:00	57	157	36.31	11	37	29.73	57	76	75.00	182	60.67	39	78	117	39.00	27	54	18	11	62	3	1	 	 
2016	12280	70	Bowie St.	-	Opponent Totals	-	-	-	-	-	601:00	69	186	37.10	15	68	22.06	41	58	70.69	194	64.67	47	71	118	39.33	35	44	17	12	62	3	2	 	 
2016	12280	30094	Brevard	-	Totals	-	-	-	-	-	400:00	39	114	34.21	8	36	22.22	25	38	65.79	111	55.50	25	48	73	36.50	12	26	17	8	34	2	1	 	 
2016	12280	30094	Brevard	-	Opponent Totals	-	-	-	-	-	400:00	49	136	36.03	13	46	28.26	22	25	88.00	133	66.50	41	57	98	49.00	18	33	19	9	42	2	 	 	 
2016	12280	74	Bridgeport	-	Totals	-	-	-	-	-	600:00	67	171	39.18	17	57	29.82	54	72	75.00	205	68.33	36	77	113	37.67	38	64	19	12	59	3	 	 	 
2016	12280	74	Bridgeport	-	Opponent Totals	-	-	-	-	-	600:00	82	202	40.59	24	61	39.34	46	56	82.14	234	78.00	46	77	123	41.00	51	49	28	6	71	3	1	 	 
2016	12280	91	Cal Poly Pomona	-	Totals	-	-	-	-	-	599:00	51	146	34.93	13	43	30.23	34	51	66.67	149	49.67	36	70	106	35.33	27	57	13	4	58	3	3	 	 
2016	12280	91	Cal Poly Pomona	-	Opponent Totals	-	-	-	-	-	601:00	66	152	43.42	34	79	43.04	44	60	73.33	210	70.00	24	71	95	31.67	48	38	28	10	56	3	1	 	 
2016	12280	92	Cal St. Dom. Hills	-	Totals	-	-	-	-	-	1225:00	135	373	36.19	33	127	25.98	94	139	67.63	397	66.17	83	152	235	39.17	59	86	52	16	123	6	7	 	 
2016	12280	92	Cal St. Dom. Hills	-	Opponent Totals	-	-	-	-	-	1225:00	134	351	38.18	44	118	37.29	97	125	77.60	409	68.17	79	178	257	42.83	98	110	35	10	129	6	3	 	 
2016	12280	98	Cal St. East Bay	-	Totals	-	-	-	-	-	825:00	91	211	43.13	26	66	39.39	59	80	73.75	267	66.75	39	101	140	35.00	54	63	28	8	84	4	2	 	 
2016	12280	98	Cal St. East Bay	-	Opponent Totals	-	-	-	-	-	825:00	89	229	38.86	20	69	28.99	54	95	56.84	252	63.00	59	87	146	36.50	42	61	35	8	72	4	3	 	 
2016	12280	100	Cal St. L.A.	-	Totals	-	-	-	-	-	400:00	61	133	45.86	20	46	43.48	17	27	62.96	159	79.50	20	57	77	38.50	30	32	24	6	51	2	1	 	 
2016	12280	100	Cal St. L.A.	-	Opponent Totals	-	-	-	-	-	400:00	45	125	36.00	17	47	36.17	35	55	63.64	142	71.00	31	56	87	43.50	28	39	13	13	32	2	 	 	 
2016	12280	30055	Cal St. Monterey Bay	-	Totals	-	-	-	-	-	400:00	51	125	40.80	16	48	33.33	19	36	52.78	137	68.50	31	52	83	41.50	28	31	13	4	42	2	4	 	 
2016	12280	30055	Cal St. Monterey Bay	-	Opponent Totals	-	-	-	-	-	400:00	50	120	41.67	8	35	22.86	30	47	63.83	138	69.00	26	49	75	37.50	16	22	13	6	31	2	 	 	 
2016	12280	995	Caldwell	-	Totals	-	-	-	-	-	800:00	109	255	42.75	30	77	38.96	44	66	66.67	292	73.00	37	92	129	32.25	55	52	28	6	72	4	1	 	 
2016	12280	995	Caldwell	-	Opponent Totals	-	-	-	-	-	800:00	109	263	41.44	22	70	31.43	57	79	72.15	297	74.25	68	114	182	45.50	57	69	30	10	65	4	1	 	 
2016	12280	106	California (PA)	-	Totals	-	-	-	-	-	600:00	79	192	41.15	5	22	22.73	43	58	74.14	206	68.67	43	76	119	39.67	34	40	21	10	59	3	1	 	 
2016	12280	106	California (PA)	-	Opponent Totals	-	-	-	-	-	600:00	80	177	45.20	15	43	34.88	43	59	72.88	218	72.67	29	77	106	35.33	32	43	18	8	64	3	2	 	 
2016	12280	30135	California Baptist	-	Totals	-	-	-	-	-	600:00	92	214	42.99	22	75	29.33	34	45	75.56	240	80.00	42	104	146	48.67	55	45	25	28	35	3	 	 	 
2016	12280	30135	California Baptist	-	Opponent Totals	-	-	-	-	-	600:00	67	228	29.39	24	73	32.88	17	24	70.83	175	58.33	42	71	113	37.67	40	44	24	6	44	3	 	 	 
2016	12280	996	Cameron	-	Totals	-	-	-	-	-	800:00	86	229	37.55	33	102	32.35	42	64	65.62	247	61.75	35	101	136	34.00	35	71	27	7	81	4	2	 	 
2016	12280	996	Cameron	-	Opponent Totals	-	-	-	-	-	800:00	90	244	36.89	29	93	31.18	53	82	64.63	262	65.50	60	117	177	44.25	48	63	27	8	77	4	 	 	 
2016	12280	1000	Carson-Newman	-	Totals	-	-	-	-	-	600:00	83	181	45.86	25	61	40.98	24	41	58.54	215	71.67	34	79	113	37.67	48	49	27	7	63	3	3	 	 
2016	12280	1000	Carson-Newman	-	Opponent Totals	-	-	-	-	-	600:00	71	179	39.66	11	50	22.00	38	61	62.30	191	63.67	43	74	117	39.00	45	49	23	9	48	3	1	 	 
2016	12280	1001	Catawba	-	Totals	-	-	-	-	-	800:00	96	245	39.18	17	62	27.42	70	93	75.27	279	69.75	57	100	157	39.25	50	82	21	2	81	4	1	 	 
2016	12280	1001	Catawba	-	Opponent Totals	-	-	-	-	-	800:00	104	241	43.15	15	46	32.61	66	95	69.47	289	72.25	50	104	154	38.50	49	70	49	17	91	4	3	 	 
2016	12280	30124	Cedarville	-	Totals	-	-	-	-	-	650:00	67	191	35.08	16	53	30.19	14	20	70.00	164	54.67	34	80	114	38.00	38	56	21	7	52	3	 	 	 
2016	12280	30124	Cedarville	-	Opponent Totals	-	-	-	-	-	650:00	67	182	36.81	17	68	25.00	36	47	76.60	187	62.33	38	98	136	45.33	40	52	37	17	46	3	1	 	 
2016	12280	130	Central Mo.	-	Totals	-	-	-	-	-	600:00	76	193	39.38	20	73	27.40	29	46	63.04	201	67.00	38	66	104	34.67	39	49	29	5	62	3	1	 	 
2016	12280	130	Central Mo.	-	Opponent Totals	-	-	-	-	-	600:00	73	170	42.94	18	51	35.29	57	79	72.15	221	73.67	42	87	129	43.00	43	57	22	9	57	3	2	 	 
2016	12280	1009	Central Okla.	-	Totals	-	-	-	-	-	600:00	68	165	41.21	18	63	28.57	49	67	73.13	203	67.67	30	86	116	38.67	39	54	28	11	61	3	1	 	 
2016	12280	1009	Central Okla.	-	Opponent Totals	-	-	-	-	-	601:00	55	177	31.07	19	60	31.67	44	63	69.84	173	57.67	44	77	121	40.33	29	61	18	6	65	3	3	 	 
2016	12280	30049	Central St. (OH)	-	Totals	-	-	-	-	-	400:00	47	124	37.90	14	44	31.82	16	35	45.71	124	62.00	34	53	87	43.50	24	47	20	4	48	2	 	 	 
2016	12280	30049	Central St. (OH)	-	Opponent Totals	-	-	-	-	-	400:00	49	115	42.61	17	43	39.53	41	56	73.21	156	78.00	24	51	75	37.50	33	37	24	4	33	2	 	 	 
2016	12280	1010	Central Wash.	-	Totals	-	-	-	-	-	800:00	96	222	43.24	22	62	35.48	44	65	67.69	258	64.50	48	112	160	40.00	72	65	28	19	69	4	1	 	 
2016	12280	1010	Central Wash.	-	Opponent Totals	-	-	-	-	-	800:00	72	225	32.00	20	72	27.78	49	75	65.33	213	53.25	49	84	133	33.25	35	60	42	9	81	4	2	 	 
2016	12280	1012	Chadron St.	-	Totals	-	-	-	-	-	399:00	36	114	31.58	6	38	15.79	27	39	69.23	105	52.50	28	48	76	38.00	15	54	18	6	35	2	1	 	 
2016	12280	1012	Chadron St.	-	Opponent Totals	-	-	-	-	-	400:00	58	147	39.46	18	67	26.87	29	34	85.29	163	81.50	38	56	94	47.00	34	35	33	9	43	2	 	 	 
2016	12280	133	Chaminade	-	Totals	-	-	-	-	-	200:00	25	60	41.67	3	13	23.08	10	20	50.00	63	63.00	12	24	36	36.00	9	18	7	2	17	1	 	 	 
2016	12280	133	Chaminade	-	Opponent Totals	-	-	-	-	-	200:00	31	74	41.89	6	23	26.09	14	18	77.78	82	82.00	18	27	45	45.00	13	14	9	2	16	1	 	 	 
2016	12280	1013	Charleston (WV)	-	Totals	-	-	-	-	-	625:00	72	169	42.60	24	77	31.17	50	73	68.49	218	72.67	36	61	97	32.33	40	44	23	10	68	3	3	 	 
2016	12280	1013	Charleston (WV)	-	Opponent Totals	-	-	-	-	-	625:00	73	168	43.45	26	71	36.62	48	63	76.19	220	73.33	37	70	107	35.67	50	49	19	8	65	3	2	 	 
2016	12280	135	Cheyney	-	Totals	-	-	-	-	-	400:00	43	106	40.57	9	23	39.13	28	45	62.22	123	61.50	20	42	62	31.00	15	43	21	3	42	2	 	 	 
2016	12280	135	Cheyney	-	Opponent Totals	-	-	-	-	-	400:00	58	132	43.94	12	40	30.00	27	37	72.97	155	77.50	35	51	86	43.00	39	36	16	8	45	2	 	 	 
2016	12280	95	Chico St.	-	Totals	-	-	-	-	-	600:00	68	148	45.95	12	46	26.09	37	54	68.52	185	61.67	20	74	94	31.33	38	56	46	6	49	3	 	 	 
2016	12280	95	Chico St.	-	Opponent Totals	-	-	-	-	-	602:00	50	143	34.97	7	37	18.92	32	45	71.11	139	46.33	25	64	89	29.67	25	71	27	1	53	3	 	 	 
2016	12280	8875	Chowan	-	Totals	-	-	-	-	-	600:00	70	192	36.46	9	38	23.68	45	67	67.16	194	64.67	55	77	132	44.00	36	48	30	6	53	3	2	 	 
2016	12280	8875	Chowan	-	Opponent Totals	-	-	-	-	-	600:00	64	154	41.56	12	37	32.43	37	57	64.91	177	59.00	22	76	98	32.67	30	59	23	9	66	3	2	 	 
2016	12280	30058	Claflin	-	Totals	-	-	-	-	-	600:00	71	194	36.60	18	61	29.51	26	43	60.47	186	62.00	50	74	124	41.33	25	43	21	19	67	3	1	 	 
2016	12280	30058	Claflin	-	Opponent Totals	-	-	-	-	-	601:00	59	149	39.60	12	42	28.57	52	67	77.61	182	60.67	23	82	105	35.00	29	44	15	6	51	3	1	 	 
2016	12280	143	Clarion	-	Totals	-	-	-	-	-	600:00	69	201	34.33	21	76	27.63	34	48	70.83	193	64.33	51	72	123	41.00	37	37	20	12	73	3	1	 	 
2016	12280	143	Clarion	-	Opponent Totals	-	-	-	-	-	600:00	75	167	44.91	16	46	34.78	65	91	221.45	231	77.00	33	87	120	40.00	45	40	17	5	51	3	 	 	 
2016	12280	144	Clark Atlanta	-	Totals	-	-	-	-	-	600:00	80	191	41.88	15	43	34.88	45	61	73.77	220	73.33	42	62	104	34.67	31	48	31	5	59	3	2	 	 
2016	12280	144	Clark Atlanta	-	Opponent Totals	-	-	-	-	-	600:00	99	182	54.40	14	36	38.89	41	62	66.13	253	84.33	32	80	112	37.33	48	51	26	9	54	3	1	 	 
2016	12280	20576	Clayton St.	-	Totals	-	-	-	-	-	600:00	86	181	47.51	15	46	32.61	44	65	67.69	231	77.00	38	71	109	36.33	44	61	33	12	63	3	1	 	 
2016	12280	20576	Clayton St.	-	Opponent Totals	-	-	-	-	-	600:00	67	161	41.61	9	44	20.45	47	75	62.67	190	63.33	38	69	107	35.67	31	82	31	1	56	3	 	 	 
2016	12280	1023	Coker	-	Totals	-	-	-	-	-	826:00	95	257	36.96	19	82	23.17	49	71	69.01	258	64.50	56	114	170	42.50	47	96	31	5	87	4	3	 	 
2016	12280	1023	Coker	-	Opponent Totals	-	-	-	-	-	827:00	113	271	41.70	17	64	26.56	73	103	70.87	316	79.00	52	111	163	40.75	55	60	51	10	72	4	 	 	 
2016	12280	11403	Colo. Christian	-	Totals	-	-	-	-	-	400:00	54	142	38.03	9	37	24.32	24	36	66.67	141	70.50	41	45	86	43.00	29	41	28	5	52	2	3	 	 
2016	12280	11403	Colo. Christian	-	Opponent Totals	-	-	-	-	-	400:00	41	117	35.04	17	55	30.91	43	59	72.88	142	71.00	36	52	88	44.00	25	47	11	4	38	2	 	 	 
2016	12280	11416	Colorado Mesa	-	Totals	-	-	-	-	-	400:00	45	113	39.82	14	42	33.33	19	27	70.37	123	61.50	18	55	73	36.50	30	34	12	9	37	2	2	 	 
2016	12280	11416	Colorado Mesa	-	Opponent Totals	-	-	-	-	-	400:00	40	112	35.71	12	27	44.44	33	47	70.21	125	62.50	25	50	75	37.50	26	31	27	10	37	2	1	 	 
2016	12280	155	Colorado Mines	-	Totals	-	-	-	-	-	401:00	30	110	27.27	8	27	29.63	21	33	63.64	89	44.50	25	47	72	36.00	18	43	12	5	36	2	 	 	 
2016	12280	155	Colorado Mines	-	Opponent Totals	-	-	-	-	-	400:00	50	111	45.05	22	53	41.51	19	20	95.00	141	70.50	12	56	68	34.00	41	32	26	8	43	2	 	 	 
2016	12280	2720	Colorado St.-Pueblo	-	Totals	-	-	-	-	-	200:00	17	65	26.15	4	19	21.05	5	16	31.25	43	43.00	16	15	31	31.00	6	11	12	1	18	1	 	 	 
2016	12280	2720	Colorado St.-Pueblo	-	Opponent Totals	-	-	-	-	-	200:00	24	48	50.00	4	15	26.67	16	19	84.21	68	68.00	11	36	47	47.00	9	23	5	6	18	1	 	 	 
2016	12280	159	Columbus St.	-	Totals	-	-	-	-	-	600:00	90	215	41.86	18	51	35.29	29	45	64.44	227	75.67	54	84	138	46.00	45	31	37	8	47	3	 	 	 
2016	12280	159	Columbus St.	-	Opponent Totals	-	-	-	-	-	600:00	48	154	31.17	8	40	20.00	36	55	65.45	140	46.67	32	79	111	37.00	16	69	16	5	52	3	2	 	 
2016	12280	1028	Concord	-	Totals	-	-	-	-	-	600:00	64	190	33.68	15	49	30.61	16	18	88.89	159	53.00	39	79	118	39.33	38	51	23	4	45	3	 	 	 
2016	12280	1028	Concord	-	Opponent Totals	-	-	-	-	-	600:00	69	188	36.70	17	57	29.82	26	45	57.78	181	60.33	47	89	136	45.33	36	58	14	9	37	3	 	 	 
2016	12280	30199	Concordia (CA)	-	Totals	-	-	-	-	-	600:00	56	173	32.37	12	46	26.09	33	60	55.00	157	52.33	45	86	131	43.67	25	74	12	12	66	3	 	 	 
2016	12280	30199	Concordia (CA)	-	Opponent Totals	-	-	-	-	-	600:00	87	201	43.28	24	63	38.10	43	59	72.88	241	80.33	34	83	117	39.00	48	36	36	6	68	3	2	 	 
2016	12280	162	Concordia (NY)	-	Totals	-	-	-	-	-	600:00	59	166	35.54	16	55	29.09	44	62	70.97	178	59.33	35	75	110	36.67	26	67	21	9	64	3	1	 	 
2016	12280	162	Concordia (NY)	-	Opponent Totals	-	-	-	-	-	600:00	85	206	41.26	8	47	17.02	42	62	67.74	220	73.33	58	82	140	46.67	39	51	34	13	58	3	1	 	 
2016	12280	30200	Concordia Portland	-	Totals	-	-	-	-	-	600:00	66	172	38.37	15	58	25.86	37	50	74.00	184	61.33	38	65	103	34.33	35	44	24	7	46	3	 	 	 
2016	12280	30200	Concordia Portland	-	Opponent Totals	-	-	-	-	-	600:00	73	180	40.56	20	59	33.90	24	42	57.14	190	63.33	47	75	122	40.67	47	49	20	5	56	3	2	 	 
2016	12280	9081	Concordia-St. Paul	-	Totals	-	-	-	-	-	625:00	87	228	38.16	16	63	25.40	47	78	60.26	237	79.00	61	92	153	51.00	46	39	34	13	59	3	2	 	 
