year	year_id	team_id	team_name	jersey_number	player_id	player_name	player_url	class_year	position	height	games_played	games_started	minutes_played	field_goals_made	field_goals_attempted	field_goal_percentage	three_point_field_goals	three_point_field_goals_attempted	three_point_field_goal_percentage	free_throws	free_throws_attempted	free_throw_percentage	points	point_per_game	offensive_rebounds	defensive_rebounds	total_rebounds	rebounds_per_game	assists	turnovers	steals	blocks	fouls	double_doubles	triple_doubles	dq
2016	12280	35	Ashland	14	1520137	Peare, Kelsey	http://stats.ncaa.org/player?game_sport_year_ctl_id=12280&stats_player_seq=1520137	Jr	G	5-9	3	3	86:00	9	14	64.29	4	7	57.14	1	2	50.00	23	7.67	2	5	7	2.33	8	3	3	2	6	3	 	 	 
2016	12280	35	Ashland	30	1631516	Daugherty, Andi	http://stats.ncaa.org/player?game_sport_year_ctl_id=12280&stats_player_seq=1631516	So	F	6-1	3	3	83:00	15	23	65.22	1	6	16.67	7	8	87.50	38	12.67	4	20	24	8.00	7	9	2	5	6	3	 	 	 
2016	12280	35	Ashland	12	1631515	Henning, Alex	http://stats.ncaa.org/player?game_sport_year_ctl_id=12280&stats_player_seq=1631515	Jr	G	5-9	3	3	84:00	7	14	50.00	1	4	25.00	4	8	50.00	19	6.33	5	5	10	3.33	11	5	8	 	5	3	 	 	 
2016	12280	35	Ashland	10	1631514	Mitchell, Maggie	http://stats.ncaa.org/player?game_sport_year_ctl_id=12280&stats_player_seq=1631514	So	G	5-6	3	0	42:00	5	12	41.67	3	9	33.33	6	6	100.00	19	6.33	1	5	6	2.00	10	5	 	 	3	3	 	 	 
2016	12280	35	Ashland	04	1631513	Ulbrich, Leanne	http://stats.ncaa.org/player?game_sport_year_ctl_id=12280&stats_player_seq=1631513	So	G	5-7	3	0	9:00	 	2	0.00	 	 	""	 	 	""	 	""	1	1	2	0.67	1	1	 	 	1	3	 	 	 
2016	12280	35	Ashland	03	1631512	Snyder, Laina	http://stats.ncaa.org/player?game_sport_year_ctl_id=12280&stats_player_seq=1631512	So	F	6-1	3	3	80:00	27	38	71.05	 	 	""	10	14	71.43	64	21.33	9	16	25	8.33	4	12	12	2	6	3	 	2	 
2016	12280	35	Ashland	34	1520141	Morrison, Rachelle	http://stats.ncaa.org/player?game_sport_year_ctl_id=12280&stats_player_seq=1520141	Jr	G	5-5	3	0	33:00	2	10	20.00	2	9	22.22	2	2	100.00	8	2.67	1	2	3	1.00	2	2	 	 	3	3	 	 	 
2016	12280	35	Ashland	23	1520140	Sobczak, Jamie	http://stats.ncaa.org/player?game_sport_year_ctl_id=12280&stats_player_seq=1520140	Sr	G	5-9	3	0	23:00	5	8	62.50	 	 	""	 	1	0.00	10	3.33	1	8	9	3.00	1	1	2	 	5	3	 	 	 
2016	12280	35	Ashland	22	1520139	Wollenhaupt, Suzy	http://stats.ncaa.org/player?game_sport_year_ctl_id=12280&stats_player_seq=1520139	Jr	F	6-1	3	0	45:00	7	13	53.85	1	1	100.00	5	6	83.33	20	6.67	 	12	12	4.00	2	3	2	3	2	3	 	 	 
2016	12280	35	Ashland	24	1736614	Smith, Brooke	http://stats.ncaa.org/player?game_sport_year_ctl_id=12280&stats_player_seq=1736614	Fr	G	5-4	2	0	8:00	1	3	33.33	1	3	33.33	 	 	""	3	1.50	 	2	2	1.00	 	 	 	 	 	2	 	 	 
2016	12280	35	Ashland	42	1631517	Worley, Julie	http://stats.ncaa.org/player?game_sport_year_ctl_id=12280&stats_player_seq=1631517	So	F	6-1	1	0	13:00	2	4	50.00	 	 	""	1	2	50.00	5	5.00	1	2	3	3.00	1	2	 	 	 	1	 	 	 
2016	12280	36	Assumption	21	1511681	Impellizeri, Johanna	http://stats.ncaa.org/player?game_sport_year_ctl_id=12280&stats_player_seq=1511681	Jr	F	6-1	3	0	52:00	5	11	45.45	 	 	""	9	16	56.25	19	6.33	2	14	16	5.33	6	5	1	2	4	3	 	 	 
2016	12280	36	Assumption	10	1398018	Conley, Kelly	http://stats.ncaa.org/player?game_sport_year_ctl_id=12280&stats_player_seq=1398018	Sr	G	5-9	3	3	87:00	12	30	40.00	3	11	27.27	12	14	85.71	39	13.00	4	7	11	3.67	7	4	1	1	4	3	 	 	 
2016	12280	36	Assumption	23	1398019	Idusuyi, Ann Marie	http://stats.ncaa.org/player?game_sport_year_ctl_id=12280&stats_player_seq=1398019	Sr	F	6-1	3	3	74:00	8	15	53.33	 	 	""	5	6	83.33	21	7.00	10	18	28	9.33	5	5	2	3	6	3	 	 	 
2016	12280	36	Assumption	44	1746749	O'Donnell, Morgan	http://stats.ncaa.org/player?game_sport_year_ctl_id=12280&stats_player_seq=1746749	N/A	""	-	3	0	38:00	7	16	43.75	 	 	""	 	5	0.00	14	4.67	6	5	11	3.67	1	7	1	 	5	3	 	 	 
2016	12280	36	Assumption	22	1624315	McLaughlin, Teneya	http://stats.ncaa.org/player?game_sport_year_ctl_id=12280&stats_player_seq=1624315	So	G	5-8	3	0	38:00	3	8	37.50	1	2	50.00	2	2	100.00	9	3.00	3	4	7	2.33	6	4	 	 	4	3	 	 	 
